rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,county,state_code,county_name,area_name,town_name,state_abrev,year
786,796,1039,1487,1799,29,6,Kern County,"Bakersfield, CA MSA",Kern County,CA,2021
879,964,1270,1802,2199,7,6,Butte County,"Chico, CA MSA",Butte County,CA,2021
744,850,1113,1517,1883,25,6,Imperial County,"El Centro, CA MSA",Imperial County,CA,2021
847,907,1134,1608,1862,19,6,Fresno County,"Fresno, CA MSA",Fresno County,CA,2021
953,962,1182,1692,1820,31,6,Kings County,"Hanford-Corcoran, CA MSA",Kings County,CA,2021
1488,1746,2238,2974,3243,37,6,Los Angeles County,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,CA,2021
1805,2031,2507,3470,3997,59,6,Orange County,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,CA,2021
931,937,1224,1752,1917,39,6,Madera County,"Madera, CA MSA",Madera County,CA,2021
779,949,1148,1643,1988,47,6,Merced County,"Merced, CA MSA",Merced County,CA,2021
942,1045,1296,1835,2153,99,6,Stanislaus County,"Modesto, CA MSA",Stanislaus County,CA,2021
1454,1672,2203,3085,3096,55,6,Napa County,"Napa, CA MSA",Napa County,CA,2021
1387,1660,2102,2940,3486,111,6,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA MSA",Ventura County,CA,2021
853,981,1293,1850,2239,89,6,Shasta County,"Redding, CA MSA",Shasta County,CA,2021
1035,1199,1506,2077,2567,65,6,Riverside County,"Riverside-San Bernardino-Ontario, CA MSA",Riverside County,CA,2021
1035,1199,1506,2077,2567,71,6,San Bernardino County,"Riverside-San Bernardino-Ontario, CA MSA",San Bernardino County,CA,2021
1138,1276,1606,2298,2781,17,6,El Dorado County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",El Dorado County,CA,2021
1138,1276,1606,2298,2781,61,6,Placer County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Placer County,CA,2021
1138,1276,1606,2298,2781,67,6,Sacramento County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento County,CA,2021
1183,1250,1647,2357,2816,113,6,Yolo County,"Yolo, CA HUD Metro FMR Area",Yolo County,CA,2021
1467,1595,1951,2792,3061,53,6,Monterey County,"Salinas, CA MSA",Monterey County,CA,2021
1569,1743,2254,3170,3903,73,6,San Diego County,"San Diego-Carlsbad, CA MSA",San Diego County,CA,2021
1768,2143,2641,3541,4281,1,6,Alameda County,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,CA,2021
1768,2143,2641,3541,4281,13,6,Contra Costa County,"Oakland-Fremont, CA HUD Metro FMR Area",Contra Costa County,CA,2021
2447,3044,3700,4756,5176,41,6,Marin County,"San Francisco, CA HUD Metro FMR Area",Marin County,CA,2021
2447,3044,3700,4756,5176,75,6,San Francisco County,"San Francisco, CA HUD Metro FMR Area",San Francisco County,CA,2021
2447,3044,3700,4756,5176,81,6,San Mateo County,"San Francisco, CA HUD Metro FMR Area",San Mateo County,CA,2021
2354,2702,3223,4209,4852,85,6,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",Santa Clara County,CA,2021
1309,1386,1826,2613,3162,69,6,San Benito County,"San Benito County, CA HUD Metro FMR Area",San Benito County,CA,2021
1257,1362,1795,2569,3101,79,6,San Luis Obispo County,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",San Luis Obispo County,CA,2021
2061,2370,3123,4080,4568,87,6,Santa Cruz County,"Santa Cruz-Watsonville, CA MSA",Santa Cruz County,CA,2021
1867,2177,2564,3388,3877,83,6,Santa Barbara County,"Santa Maria-Santa Barbara, CA MSA",Santa Barbara County,CA,2021
1462,1658,2179,3084,3553,97,6,Sonoma County,"Santa Rosa, CA MSA",Sonoma County,CA,2021
909,1037,1367,1956,2367,77,6,San Joaquin County,"Stockton-Lodi, CA MSA",San Joaquin County,CA,2021
1300,1477,1767,2529,3059,95,6,Solano County,"Vallejo-Fairfield, CA MSA",Solano County,CA,2021
764,769,1014,1413,1651,107,6,Tulare County,"Visalia-Porterville, CA MSA",Tulare County,CA,2021
941,947,1206,1726,2088,101,6,Sutter County,"Yuba City, CA MSA",Sutter County,CA,2021
941,947,1206,1726,2088,115,6,Yuba County,"Yuba City, CA MSA",Yuba County,CA,2021
778,882,1150,1646,1825,3,6,Alpine County,"Alpine County, CA",Alpine County,CA,2021
919,925,1200,1717,2068,5,6,Amador County,"Amador County, CA",Amador County,CA,2021
763,889,1127,1613,1951,9,6,Calaveras County,"Calaveras County, CA",Calaveras County,CA,2021
694,778,1025,1467,1775,11,6,Colusa County,"Colusa County, CA",Colusa County,CA,2021
703,859,1039,1441,1768,15,6,Del Norte County,"Del Norte County, CA",Del Norte County,CA,2021
666,747,984,1224,1334,21,6,Glenn County,"Glenn County, CA",Glenn County,CA,2021
793,923,1190,1703,2033,23,6,Humboldt County,"Humboldt County, CA",Humboldt County,CA,2021
884,928,1109,1498,1504,27,6,Inyo County,"Inyo County, CA",Inyo County,CA,2021
761,875,1153,1650,1724,33,6,Lake County,"Lake County, CA",Lake County,CA,2021
667,748,986,1411,1517,35,6,Lassen County,"Lassen County, CA",Lassen County,CA,2021
798,895,1179,1500,2041,43,6,Mariposa County,"Mariposa County, CA",Mariposa County,CA,2021
971,1005,1325,1859,2247,45,6,Mendocino County,"Mendocino County, CA",Mendocino County,CA,2021
604,677,892,1204,1416,49,6,Modoc County,"Modoc County, CA",Modoc County,CA,2021
936,1077,1419,1910,2252,51,6,Mono County,"Mono County, CA",Mono County,CA,2021
938,1074,1416,2026,2177,57,6,Nevada County,"Nevada County, CA",Nevada County,CA,2021
663,774,1005,1414,1683,63,6,Plumas County,"Plumas County, CA",Plumas County,CA,2021
983,1115,1453,2079,2306,91,6,Sierra County,"Sierra County, CA",Sierra County,CA,2021
698,732,965,1381,1458,93,6,Siskiyou County,"Siskiyou County, CA",Siskiyou County,CA,2021
731,763,1005,1332,1539,103,6,Tehama County,"Tehama County, CA",Tehama County,CA,2021
625,724,924,1322,1466,105,6,Trinity County,"Trinity County, CA",Trinity County,CA,2021
784,912,1188,1673,2057,109,6,Tuolumne County,"Tuolumne County, CA",Tuolumne County,CA,2021
