rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,county,state_code,county_name,area_name,town_name,state_abrev,year
754,869,1094,1594,1910,67,6,Sacramento County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento County,CA,2016
988,1095,1445,2106,2523,69,6,San Benito County,"San Benito County, CA HUD Metro FMR Area",San Benito County,CA,2016
798,945,1187,1672,2056,71,6,San Bernardino County,"Riverside-San Bernardino-Ontario, CA MSA",San Bernardino County,CA,2016
1134,1256,1634,2362,2539,73,6,San Diego County,"San Diego-Carlsbad, CA MSA",San Diego County,CA,2016
1559,2003,2527,3297,3926,75,6,San Francisco County,"San Francisco, CA HUD Metro FMR Area",San Francisco County,CA,2016
652,778,1023,1491,1786,77,6,San Joaquin County,"Stockton-Lodi, CA MSA",San Joaquin County,CA,2016
917,1071,1391,2027,2388,79,6,San Luis Obispo County,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",San Luis Obispo County,CA,2016
1559,2003,2527,3297,3926,81,6,San Mateo County,"San Francisco, CA HUD Metro FMR Area",San Mateo County,CA,2016
1206,1388,1642,2258,2616,83,6,Santa Barbara County,"Santa Maria-Santa Barbara, CA MSA",Santa Barbara County,CA,2016
1471,1726,2175,3029,3379,85,6,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",Santa Clara County,CA,2016
1064,1289,1725,2285,2555,87,6,Santa Cruz County,"Santa Cruz-Watsonville, CA MSA",Santa Cruz County,CA,2016
708,712,935,1363,1593,89,6,Shasta County,"Redding, CA MSA",Shasta County,CA,2016
881,949,1263,1594,2050,91,6,Sierra County,"Sierra County, CA",Sierra County,CA,2016
568,723,921,1340,1518,93,6,Siskiyou County,"Siskiyou County, CA",Siskiyou County,CA,2016
883,1089,1366,1991,2385,95,6,Solano County,"Vallejo-Fairfield, CA MSA",Solano County,CA,2016
1000,1167,1514,2206,2643,97,6,Sonoma County,"Santa Rosa, CA MSA",Sonoma County,CA,2016
671,759,990,1414,1709,99,6,Stanislaus County,"Modesto, CA MSA",Stanislaus County,CA,2016
663,699,910,1326,1589,101,6,Sutter County,"Yuba City, CA MSA",Sutter County,CA,2016
541,655,877,1209,1214,103,6,Tehama County,"Tehama County, CA",Tehama County,CA,2016
702,707,946,1282,1652,105,6,Trinity County,"Trinity County, CA",Trinity County,CA,2016
626,630,818,1192,1342,107,6,Tulare County,"Visalia-Porterville, CA MSA",Tulare County,CA,2016
790,806,1079,1472,1636,109,6,Tuolumne County,"Tuolumne County, CA",Tuolumne County,CA,2016
1063,1279,1712,2419,2660,111,6,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA MSA",Ventura County,CA,2016
931,937,1254,1802,2189,113,6,Yolo County,"Yolo, CA HUD Metro FMR Area",Yolo County,CA,2016
663,699,910,1326,1589,115,6,Yuba County,"Yuba City, CA MSA",Yuba County,CA,2016
