rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,county,state_code,county_name,area_name,town_name,state_abrev,year
1487,1792,2267,3160,3522,1,6,Alameda County,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,CA,2016
625,674,897,1282,1456,3,6,Alpine County,"Alpine County, CA",Alpine County,CA,2016
684,829,1109,1584,1821,5,6,Amador County,"Amador County, CA",Amador County,CA,2016
661,759,965,1402,1685,7,6,Butte County,"Chico, CA MSA",Butte County,CA,2016
692,765,992,1446,1732,9,6,Calaveras County,"Calaveras County, CA",Calaveras County,CA,2016
559,748,907,1322,1449,11,6,Colusa County,"Colusa County, CA",Colusa County,CA,2016
1487,1792,2267,3160,3522,13,6,Contra Costa County,"Oakland-Fremont, CA HUD Metro FMR Area",Contra Costa County,CA,2016
794,799,1008,1469,1760,15,6,Del Norte County,"Del Norte County, CA",Del Norte County,CA,2016
754,869,1094,1594,1910,17,6,El Dorado County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",El Dorado County,CA,2016
706,736,919,1296,1524,19,6,Fresno County,"Fresno, CA MSA",Fresno County,CA,2016
634,638,854,1187,1386,21,6,Glenn County,"Glenn County, CA",Glenn County,CA,2016
720,806,1076,1555,1845,23,6,Humboldt County,"Humboldt County, CA",Humboldt County,CA,2016
546,679,883,1239,1542,25,6,Imperial County,"El Centro, CA MSA",Imperial County,CA,2016
779,784,995,1431,1615,27,6,Inyo County,"Inyo County, CA",Inyo County,CA,2016
643,684,884,1278,1543,29,6,Kern County,"Bakersfield, CA MSA",Kern County,CA,2016
645,649,869,1204,1374,31,6,Kings County,"Hanford-Corcoran, CA MSA",Kings County,CA,2016
744,790,1058,1526,1571,33,6,Lake County,"Lake County, CA",Lake County,CA,2016
658,767,1027,1462,1793,35,6,Lassen County,"Lassen County, CA",Lassen County,CA,2016
1026,1250,1614,2176,2413,37,6,Los Angeles County,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,CA,2016
751,756,1012,1469,1661,39,6,Madera County,"Madera, CA MSA",Madera County,CA,2016
1559,2003,2527,3297,3926,41,6,Marin County,"San Francisco, CA HUD Metro FMR Area",Marin County,CA,2016
702,752,1007,1262,1704,43,6,Mariposa County,"Mariposa County, CA",Mariposa County,CA,2016
781,840,1124,1602,1712,45,6,Mendocino County,"Mendocino County, CA",Mendocino County,CA,2016
548,636,830,1201,1449,47,6,Merced County,"Merced, CA MSA",Merced County,CA,2016
459,569,658,959,1132,49,6,Modoc County,"Modoc County, CA",Modoc County,CA,2016
924,1156,1338,1660,2172,51,6,Mono County,"Mono County, CA",Mono County,CA,2016
1029,1193,1498,2183,2335,53,6,Monterey County,"Salinas, CA MSA",Monterey County,CA,2016
994,1231,1612,2349,2544,55,6,Napa County,"Napa, CA MSA",Napa County,CA,2016
870,998,1336,1947,2333,57,6,Nevada County,"Nevada County, CA",Nevada County,CA,2016
1245,1420,1794,2497,2717,59,6,Orange County,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,CA,2016
754,869,1094,1594,1910,61,6,Placer County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Placer County,CA,2016
632,741,906,1155,1407,63,6,Plumas County,"Plumas County, CA",Plumas County,CA,2016
798,945,1187,1672,2056,65,6,Riverside County,"Riverside-San Bernardino-Ontario, CA MSA",Riverside County,CA,2016
