rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,county,state_code,county_name,area_name,town_name,state_abrev,year
750,762,992,1429,1700,29,6,Kern County,"Bakersfield, CA MSA",Kern County,CA,2019
859,951,1216,1758,2042,7,6,Butte County,"Chico, CA MSA",Butte County,CA,2019
644,772,1003,1312,1744,25,6,Imperial County,"El Centro, CA MSA",Imperial County,CA,2019
710,818,1016,1449,1684,19,6,Fresno County,"Fresno, CA MSA",Fresno County,CA,2019
828,864,1051,1520,1660,31,6,Kings County,"Hanford-Corcoran, CA MSA",Kings County,CA,2019
1251,1494,1934,2593,2852,37,6,Los Angeles County,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,CA,2019
1534,1769,2208,3103,3581,59,6,Orange County,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,CA,2019
821,826,1093,1554,1724,39,6,Madera County,"Madera, CA MSA",Madera County,CA,2019
613,720,888,1284,1550,47,6,Merced County,"Merced, CA MSA",Merced County,CA,2019
764,849,1074,1534,1813,99,6,Stanislaus County,"Modesto, CA MSA",Stanislaus County,CA,2019
1177,1385,1832,2649,2885,55,6,Napa County,"Napa, CA MSA",Napa County,CA,2019
1237,1462,1926,2702,3240,111,6,Ventura County,"Oxnard-Thousand Oaks-Ventura, CA MSA",Ventura County,CA,2019
698,803,1038,1501,1823,89,6,Shasta County,"Redding, CA MSA",Shasta County,CA,2019
895,1068,1335,1861,2310,65,6,Riverside County,"Riverside-San Bernardino-Ontario, CA MSA",Riverside County,CA,2019
895,1068,1335,1861,2310,71,6,San Bernardino County,"Riverside-San Bernardino-Ontario, CA MSA",San Bernardino County,CA,2019
916,1040,1311,1896,2303,17,6,El Dorado County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",El Dorado County,CA,2019
916,1040,1311,1896,2303,61,6,Placer County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Placer County,CA,2019
916,1040,1311,1896,2303,67,6,Sacramento County,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento County,CA,2019
1036,1102,1458,2102,2561,113,6,Yolo County,"Yolo, CA HUD Metro FMR Area",Yolo County,CA,2019
