state_code,county_code,county_sub_code,cntyname,town_name,areaname22,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,cbsasub22,pop2017
37,115,99999,Madison County,,"Asheville, NC HUD Metro FMR Area",1245,1267,1444,1969,2472,METRO11700M11700,21345
37,087,99999,Haywood County,,"Haywood County, NC HUD Metro FMR Area",701,905,1031,1281,1564,METRO11700N37087,59855
13,059,99999,Clarke County,,"Athens-Clarke County, GA MSA",784,832,957,1281,1500,METRO12020M12020,123555
13,195,99999,Madison County,,"Athens-Clarke County, GA MSA",784,832,957,1281,1500,METRO12020M12020,28600
13,219,99999,Oconee County,,"Athens-Clarke County, GA MSA",784,832,957,1281,1500,METRO12020M12020,35970
13,221,99999,Oglethorpe County,,"Athens-Clarke County, GA MSA",784,832,957,1281,1500,METRO12020M12020,14655
13,013,99999,Barrow County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,75100
13,015,99999,Bartow County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,102625
13,045,99999,Carroll County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,114900
13,057,99999,Cherokee County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,235895
13,063,99999,Clayton County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,274150
13,067,99999,Cobb County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,739070
13,077,99999,Coweta County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,138015
13,085,99999,Dawson County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,23395
13,089,99999,DeKalb County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,736065
13,097,99999,Douglas County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,140150
13,113,99999,Fayette County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,110305
13,117,99999,Forsyth County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,211300
13,121,99999,Fulton County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,1010420
13,135,99999,Gwinnett County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,889955
13,149,99999,Heard County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,11605
13,151,99999,Henry County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,217505
13,159,99999,Jasper County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,13730
13,217,99999,Newton County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,105040
13,223,99999,Paulding County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,152400
13,227,99999,Pickens County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,30345
13,231,99999,Pike County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,17920
13,247,99999,Rockdale County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,88480
13,255,99999,Spalding County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,64190
13,297,99999,Walton County,,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1205,1226,1397,1730,2115,METRO12060M12060,88695
13,035,99999,Butts County,,"Butts County, GA HUD Metro FMR Area",730,735,967,1270,1447,METRO12060N13035,23555
13,143,99999,Haralson County,,"Haralson County, GA HUD Metro FMR Area",690,695,852,1210,1458,METRO12060N13143,28720
13,171,99999,Lamar County,,"Lamar County, GA HUD Metro FMR Area",630,635,835,1070,1266,METRO12060N13171,18280
13,199,99999,Meriwether County,,"Meriwether County, GA HUD Metro FMR Area",709,714,939,1181,1273,METRO12060N13199,21150
13,211,99999,Morgan County,,"Morgan County, GA HUD Metro FMR Area",726,731,962,1224,1647,METRO12060N13211,18015
34,001,99999,Atlantic County,,"Atlantic City-Hammonton, NJ MSA",1010,1181,1502,2106,2330,METRO12100M12100,272925
01,081,99999,Lee County,,"Auburn-Opelika, AL MSA",713,748,980,1297,1467,METRO12220M12220,156595
